text,label
هذا المنتج ممتاز وجيد جدا,positive
أنا سعيد جدا بهذا الشراء,positive
جودة عالية وسعر مناسب,positive
خدمة عملاء ممتازة,positive
توصيل سريع ومنظم,positive
منتج رائع أنصح الجميع به,positive
تجربة شراء ممتازة,positive
سعر جيد مقابل الجودة,positive
التغليف جميل والمنتج آمن,positive
خدمة ما بعد البيع ممتازة,positive
هذا المنتج سيء جدا,negative
أنا غير راضي بالمرة,negative
جودة منخفضة وسعر مرتفع,negative
خدمة عملاء سيئة,negative
توصيل بطيء وغير منظم,negative
منتج سيء لا أنصح به,negative
تجربة شراء سيئة,negative
سعر مرتفع مقابل الجودة السيئة,negative
التغليف سيء والمنتج تالف,negative
خدمة ما بعد البيع سيئة,negative
هذا المنتج عادي,neutral
أنا محايد تجاه هذا الشراء,neutral
جودة متوسطة وسعر عادي,neutral
خدمة عملاء عادية,neutral
توصيل عادي,neutral
منتج عادي لا أكثر,neutral
تجربة شراء عادية,neutral
سعر عادي مقابل الجودة,neutral
التغليف عادي والمنتج سليم,neutral
خدمة ما بعد البيع عادية,neutral 